id,nome,categoria,preco,descricao,imagem
1,Hambúrguer,Hambúrgueres com Carne Caseira,14.0,"Pão, Carne 70g, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
2,Eggs Burguer,Hambúrgueres com Carne Caseira,15.0,"Pão, Carne 70g, Ovo, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
3,Eggs Bacon,Hambúrgueres com Carne Caseira,18.0,"Pão, Carne 70g, Ovo, Bacon, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
4,X-Burguer,Hambúrgueres com Carne Caseira,16.0,"Pão, Carne 70g, Queijo, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
5,X-Eggs-Burguer,Hambúrgueres com Carne Caseira,17.0,"Pão, Carne 70g, Queijo, Ovo, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
6,X-Bacon-Burguer,Hambúrgueres com Carne Caseira,18.0,"Pão, Carne 70g, Queijo, Bacon, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
7,X-Pres-Burguer,Hambúrgueres com Carne Caseira,16.0,"Pão, Carne 70g, Queijo, Presunto, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
8,X-Pres-Eggs-Burguer,Hambúrgueres com Carne Caseira,17.0,"Pão, Carne 70g, Queijo, Ovo, Presunto, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
9,X-Pres-Bacon-Burguer,Hambúrgueres com Carne Caseira,19.0,"Pão, Carne 70g, Queijo, Presunto, Bacon, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
10,Burguesão,Hambúrgueres com Carne Caseira,20.0,"Pão, Carne 70g, Ovo, Queijo, Presunto, Bacon, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
11,Galis Lanches,Hambúrgueres com Carne Caseira,14.0,"Pão, Frango, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
12,Galis Eggs,Hambúrgueres com Carne Caseira,17.0,"Pão, Frango, Ovo, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
13,X-Galis-Eggs,Hambúrgueres com Carne Caseira,17.0,"Pão, Frango, Queijo, Ovo, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
14,X-Galis-Bacon,Hambúrgueres com Carne Caseira,17.0,"Pão, Frango, Queijo, Bacon, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
15,Galis Burguer,Hambúrgueres com Carne Caseira,17.0,"Pão, Carne 70g, Frango, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
16,Galis-Burguer com Ovo,Hambúrgueres com Carne Caseira,18.0,"Pão, Carne 70g, Frango, Ovo, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
17,Galis Bacon-Burguer,Hambúrgueres com Carne Caseira,18.0,"Pão, Carne 70g, Frango, Bacon, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
18,X-Galis-Eggs-Burguer,Hambúrgueres com Carne Caseira,18.0,"Pão, Carne 70g, Frango, Queijo, Ovo, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
19,X-Pres-Galis-Burguer,Hambúrgueres com Carne Caseira,19.0,"Pão, Carne 70g, Frango, Queijo, Presunto, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
20,Brandem Burguer,Hambúrgueres com Carne Caseira,20.0,"Pão, Carne 70g, Frango, Queijo, Ovo, Presunto, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
21,Mata Fome,Hambúrgueres com Carne Caseira,23.0,"Pão, Carne 70g, Frango, Queijo, Ovo, Bacon, Presunto, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
22,Sablina Lanches,Hambúrgueres com Carne Caseira,40.0,"Pão, 2 Carnes 70g, 2 Frangos, 2 Queijos, 2 Ovos, 2 Bacons, 2 Presuntos, Milho, Ervilha, Salada e Batata",assets/images/hamburguer.jpg
23,Kids,Hambúrgueres Gourmet Batata Frita Grátis,18.0,"Hambúrguer 120g, Queijo Mussarela",assets/images/hamburguer-gourmet.jpg
24,Gourmet,Hambúrgueres Gourmet Batata Frita Grátis,20.0,"Hambúrguer 120g, Queijo Cheddar, Molho Billy Jack, Cebola Roxa e Salada",assets/images/hamburguer-gourmet.jpg
25,Gourmet,Hambúrgueres Gourmet Batata Frita Grátis,22.0,"Hambúrguer 120g, Queijo Cheddar, Ovo, Molho Billy Jack, Cebola Roxa e Salada",assets/images/hamburguer-gourmet.jpg
26,Gourmet,Hambúrgueres Gourmet Batata Frita Grátis,24.0,"Hambúrguer 120g, Queijo Cheddar, Presunto, Ovo, Molho Billy Jack, Cebola Roxa e Salada",assets/images/hamburguer-gourmet.jpg
27,Gourmet,Hambúrgueres Gourmet Batata Frita Grátis,26.0,"Hambúrguer 120g, Queijo Cheddar, Ovo, Bacon, Molho Billy Jack, Cebola Roxa e Salada",assets/images/hamburguer-gourmet.jpg
28,Gourmet,Hambúrgueres Gourmet Batata Frita Grátis,32.0,"Hambúrguer 120g, Queijo Cheddar, Calabresa, Ovo, Molho Billy Jack, Cebola Roxa e Salada",assets/images/hamburguer-gourmet.jpg
